Référence;Titre;Durée (min);Année;Restriction;Nombre de votes;Score;Description
F-15B1-2014;Interstellar;169;2014;Tous Publics;1467689;8.6;A team of explorers travel through a wormhole in space in an attempt to ensure humanitys survival.
F-15B2-1930;Coucous;97;1930;;210;6.1;Two phony fortune tellers get mixed up with gypsies.
F-15B3-2010;Inception: Jump Right Into The Action;44;2010;;631;8.7;Join filmmaker Christopher Nolan and his cast and crew as they reveal the secrets of Inception, its development, characters, performances, story and jaw-dropping special effects in this solid 14-segments piece.
F-15B4-2020;Cranston Academy: Monster Zone;80;2020;;188;4.8;An intelligent 15-year-old high school student is unexpectedly transferred to a boarding school where he opens a portal of monsters from another dimension.
F-15B5-1985;Broken Rainbow;70;1985;;198;7.0;Documentary chronicling the government relocation of 10,000 Navajo Indians in Arizona.
F-15B6-1999;Man Woman Film;95;1999;;354;2.8;Boy meets girl. Boy loses girl. Boy loses mind.
F-15B7-2004;Chisholm 72: Unbought & Unbossed;77;2004;;223;7.2;A documentary on Brooklyn-based Congresswoman Shirleys Chisholms 1972 presidential bid.
F-15B8-1999;American Beauty;122;1999;Tous Publics;1054399;8.3;A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughters best friend.
F-15B9-1996;Few Of Us;105;1996;;523;7.3;Silent Lithuanian film about a woman visiting a Fayre.
F-15B10-1938;Le Proscrit;90;1938;Tous Public;265;6.7;In 1747, young David Balfours life is threatened by his greedy uncle Ebenezer who wishes to become heir to the considerable Balfour estate.
F-15B11-2007;Cheeni Kum;140;2007;Tous Publics;4846;6.8;An egotistical 64-year-old chef and confirmed bachelor falls for a woman 30 years his junior.
F-15B12-1999;Lhonneur Des Winslow;104;1999;Tous Publics;7292;7.3;Following the theft of a postal-order, a fourteen-year old cadet is expelled from Naval College. To save the honour of the boy and his family, the pre-eminent barrister of the day is engaged to take on the might the Admiralty.
F-15B13-2001;Le Seigneur Des Anneaux : La Communauté De Lanneau;178;2001;Tous Publics;1629593;8.8;A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
F-15B14-2008;Seoyang-Goldong-Yanggwajajeom Aentikeu;107;2008;;1305;7.0;Jin-hyeok opens a cake shop in an old antique shop, hiring Seun-woo, Koreas best pastry chef, who fell in love with him in high school. Also there, are Soo-young, crushing on Seun-woo, ex-boxer Gi-beom, and Seun-woos French ex-boyfriend.
F-15B15-1946;G.I. Wanna Home;15;1946;;316;7.7;The stooges are discharged from the army and go to see their fiancée, but find they have been dispossessed and the wedding is off until they find a home. The boys have trouble finding a ...
F-15B16-1996;Blight;15;1996;;197;6.9;The destruction of a home for the building of a road is captured and contrasted with quotations from the residents.
F-15B17-1998;Neji-Shiki;87;1998;;209;6.3;It has been two years since unsuccessful cartoonist, Tsube (Asano), started to live with Kuniko (Fujitani) casually in a small apartment. They are in the depths of poverty and can no longer...
F-15B18-2010;Dark Woods;103;2010;;386;4.1;A young married couple moves to a secluded area to cope with the wifes terminal illness. As the wifes condition gets worse, the husbands growing detachment from her forces him into a ...
F-15B19-2009;The Scouting Book For Boys;93;2009;;838;6.6;When David discovers that his best friend Emily is being forced to leave their caravan park home, he agrees to help her to run away. But after their plan starts to unravel, secrets come to light that transform his life in ways he never imagined.
F-15B20-2014;Kabaddi;123;2014;;494;8.2;Kazi a young aimless man dreams of marrying Maiya, a village girl by any means although she wants to go to the city for higher education. Their lives are thrown into turmoil with the arrival of Bibek, a charming young man from the city.
F-15B21-2013;Indovina Chi Viene A Natale?;94;2013;;601;5.4;Four families get together at Christmas.
F-15B22-1999;La Ligne Verte;189;1999;12;1121760;8.6;The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.
F-15B23-2014;Gang Related;46;2014;;5936;7.6;Every villain has a noble cause, and every hero has a dark side. In the gritty new action-drama GANG RELATED, Detective RYAN LOPEZ is a rising star in Los Angeles elite Gang Task Force. ...
F-15B24-2012;Ni Shi Chun Feng Wo Shi Yu;;2012;;381;1.0;Add a Plot
F-15B25-2010;Pesare Adam Dokhtare Hava;112;2010;;461;4.9;Mina Bozorgmehr and Farhood Zandi are two young lawyers who start working at them same time. They share an apartment, but Mina thinks that Farhood is a author and Farhood thinks that Mina is a photographer.
F-15B26-1934;Toujours Vingt Ans;94;1934;;487;6.7;Harriet Green, a beloved and radiant music hall star of the Edwardian era, has a guilty secret: She has a baby daughter, born out of wedlock. Harriet leaves her public and flees to South ...
F-15B27-2017;O Thisavros;;2017;;172;4.4;Add a Plot
F-15B28-1993;La Liste De Schindler;195;1993;Tous Publics;1191357;8.9;In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.
F-15B29-1998;Il Faut Sauver Le Soldat Ryan;169;1998;Tous Publics Avec Avertissement;1212364;8.6;Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.
F-15B30-2009;65_Redroses;70;2009;;183;8.2;This personal and touching journey takes an unflinching look into the life of Eva Markvoort as she battles a fatal genetic disease called Cystic Fibrosis (CF). At 23, Eva needs a double ...
F-15B31-1988;Les Tribulations De Balthazar Kober;115;1988;;198;6.7;A dream-like odyssey of a young man across plague-ridden 16th century Germany.
F-15B32-2003;Le Seigneur Des Anneaux : Le Retour Du Roi;201;2003;Tous Publics;1613857;8.9;Gandalf and Aragorn lead the World of Men against Saurons army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
F-15B33-2018;Condor;60;2018;12;9949;7.8;A brilliant, young, idealistic CIA analyst finds himself in the middle of a conspiracy that kills everyone else at his office. Can he, with no field experience, stay alive long enough to get to the bottom of it?
F-15B34-2006;The Monster Of Phantom Lake;97;2006;;189;5.4;A mutated monster terrorizes campers in the woods of 1950s Wisconsin.
F-15B35-1987;À Lépreuve Des Balles;93;1987;;1218;5.1;A group of dangerous terrorists succeeds to get hold of a tank of the army and all its crew.
F-15B36-1988;Biwi Ho To Aisi;149;1988;;773;5.8;The story is a family drama that revolves around the lead pair, played by Rekha and Farooq Shaikh, who play a married couple. Its about how the character Shalu overcomes all obstacles in ...
F-15B37-1976;Gable And Lombard;131;1976;;498;5.2;A biography about the love affair between 1930s Hollywood superstars Clark Gable and Carole Lombard.
F-15B38-2018;The Dead Center;92;2018;;1776;5.7;A hospital psychiatrists own sanity is pushed to the edge when a frightened amnesiac patient insists that he has died and brought something terrible back from the other side.
F-15B39-1945;The Jungle Captive;63;1945;;304;5.3;Once again, Paula Dupree, the Ape Woman, is brought back to life, this time by a mad scientist and his disfigured assistant, who also kidnaps his female lab assistant in order to have a ...
F-15B40-2008;Die Deutschen;;2008;;274;7.9;Add a Plot
F-15B41-1979;Huckleberry Finn And His Friends;60;1979;;419;8.2;The exploits of Huckleberry Finn and Tom Sawyer.
F-15B42-2011;Kill Bill: The Whole Bloody Affair;247;2011;;5473;8.8;The Bride must kill her ex-boss and lover Bill who betrayed her at her wedding rehearsal, shot her in the head and took away her unborn daughter. But first, she must make the other four members of the Deadly Viper Assassination Squad suffer.
F-15B43-2014;Doll Factory;85;2014;;160;4.6;A small Texas town is terrorized by evil possessed baby dolls.
F-15B44-1995;The Journey Of August King;91;1995;Pg-13;908;6.5;The Journey of August King is a multi-dimensional drama about a North Carolina farmer in April 1815. August King, a widower, is on his way home as he does every year after selling his ...
F-15B45-2015;Marguerite;129;2015;R;4871;7.0;It is party day at Marguerite Dumonts castle. She sings wholeheartedly, but terribly out of tune. Marguerite has been living her passion in her own bubble, and the hypocrite audience acts as if she was the diva she believes she is.
F-15B46-1994;Insaniyat;180;1994;;247;3.0;A Police officer seeks the help of two gangsters to combat terrorism.
F-15B47-2010;Inception;148;2010;Tous Publics;2021865;8.8;A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
F-15B48-2002;Mibu Gishi Den;143;2002;;4756;7.5;A samurai goes to extraordinary lengths to provide for his family.
F-15B49-2014;Lhomme Quon Aimait Trop;116;2014;R;1573;6.1;Agnès Le Roux, a young independent woman, returns to Nice in 1976 to have a new start in her life after a failed marriage. All while falling in love with an older lawyer.
F-15B50-2013;Le Prix De Linnocence;108;2013;;515;4.9;Traumatized by his mothers death and struggling to make ends meet, illegal immigrant Aleksandr Ivanov turns to escorting and soon finds himself sinking into the dark world of New York Citys sex trade -- and pushed to the edge of sanity.
F-15B51-2017;Le Dernier Vice-Roi Des Indes;106;2017;Tous Publics;6734;6.7;The final Viceroy of India, Louis Francis Albert Victor Nicholas Mountbatten, 1st Earl Mountbatten of Burma (Hugh Bonneville), is tasked with overseeing the transition of British India to independence, but meets with conflict as different sides clash in the face of monumental change.
F-15B52-1998;Around The Fire;106;1998;R;632;5.5;Around the Fire is the deeply resonant story of a boy named Simon, who despite being raised in an upper-class Manhattan household with all its privileges--and restrictions--is haunted by ...
F-15B53-2005;Cool Attitude - Le Film;90;2005;;1491;5.4;Penny and her family are lured on an all expenses paid vacation where a mad scientist captures them, refusing to let them go because Oscar wont reveal his on of his secret Proud Snacks formulas.
F-15B54-2003;Kaadhal Konden;150;2003;;1728;7.9;Exploring into the mind of a youth who is mentally and physically abused in his childhood, the film shows how he slowly turns into a psychopath who kills anyone who comes in the way of the girl for whom he has an obsessive love!
F-15B55-1968;Ringo Cherche Une Place Pour Mourir;89;1968;;307;5.5;An outcast Confederate soldier redeems himself by defending a woman against bandits willing to kill for her goldmine claim.
F-15B56-2017;Un Domaine En Héritage;90;2017;;531;6.1;A young lawyer must work for 6 weeks on a vineyard in order to inherit it.
F-15B57-1989;Weghet Nazar;;1989;;200;7.7;Add a Plot
F-15B58-1970;Gimme Shelter;91;1970;Tous Publics;10618;7.9;A harrowing documentary of the Stones 1969 tour, with much of the focus on the tragic concert at Altamont.
F-15B59-1991;Le Silence Des Agneaux;118;1991;16;1244264;8.6;A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.
F-15B60-1968;Lheure Des Brasiers;260;1968;;920;7.8;Divided into three segments, namely 1 Neocolonialism, 2 Act for liberation, 3 Violence and liberation, the documentary lasts more than 4 hours this deals with the defense of the revolution ...
F-15B61-2012;I-Ut Saram;115;2012;;909;6.5;Residents of a mansion live in fear when a young girl is murdered. They suspect their neighbor for the crime, and a battle erupts to protect the next victim.
F-15B62-2014;Black Rose;83;2014;;2347;2.5;A Russian Police Major is enlisted by the LAPD to help solve a series of gruesome murders perpetrated against young women by a sadistic sociopathic killer on the mean streets of Hollywood.
F-15B63-1994;Léon;110;1994;12;1014974;8.5;Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassins trade.
F-15B64-1998;Le Premier Jour;75;1998;Tous Publics;696;6.7;On December 31st of 1999, the destiny brings a fugitive prisoner and a depressed middle class teacher together, as the new millennium approaches bringing hope to everyone.
F-15B65-2011;The Island;95;2011;;742;5.0;In this romantic drama featured at the Cannes Film Festival, a couple, Sophia and Daniel, find their passionate romance taking a shocking turn when they visit the Bulgarian seaside. As they...
F-15B66-2009;Phoneshop;30;2009;;2219;7.8;The antics of the dysfunctional staff of Sutton branch of a mobile phone retailer.
F-15B67-2001;Sous La Peau De La Ville;92;2001;;1385;7.3;A valuable visual commentary on modern society, Under The Skin Of The City follows one Iranian family in their eternal struggle to stay afloat financially and emotionally. Touba works ...
F-15B68-2014;Sei Lá;110;2014;;476;4.4;Madalena is 30 years old and is abandoned by the love of her life a mysterious Spaniard named Ricardo. With the support of her best friends she tries to forget him, and find true love.
F-15B69-1972;On Mappelle Providence;90;1972;;198;5.8;An eccentric bounty hunter named Providence captures and sets free a criminal in order to collect the same bounty over and over again in different states, until they discover that a local sheriff is up to something crooked.
F-15B70-2011;Pearl Jam Twenty;109;2011;;7540;8.3;A documentary on the band Pearl Jam that marks their 20th anniversary in the year 2011.
F-15B71-2008;Wall·E;98;2008;Tous Publics;980935;8.4;In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.
F-15B72-1948;N.U.;11;1948;;372;6.7;Documentary about street cleaning in Rome.
F-15B73-1990;Ripoux Contre Ripoux;107;1990;;1879;6.1;A team of corrupt policemen returns when they face with really wicked colleagues.
